gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
m3084-source_artifacts_present,source,True,"{'m3083_audit': True, 'm3082_summary': True, 'm3082_panel_rows': True, 'm3082_admission_rows': True, 'm3082_actor_rows': True, 'm3082_claim_rows': True, 'm3082_gate_rows': True, 'm3078_summary': True, 'm3078_policy_config': True, 'm3012_summary': True, 'm3012_executable_specs': True, 'm3012_workload_rows': True, 'm3080_summary': True, 'm3080_measurement_rows': True}",all required sources,lineage_invalid,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
m3084-m3083_accepts_m3084_route,lineage,True,route marker,present,lineage_invalid,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
m3084-m3082_status_pass,lineage,True,True,True,lineage_invalid,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
m3084-m3082_gate_matrix_pass,lineage,True,True,True,lineage_invalid,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
m3084-m3078_status_pass,lineage,True,True,True,lineage_invalid,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
m3084-m3078_gate_matrix_pass,lineage,True,True,True,lineage_invalid,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
m3084-policy_config_contract_pass,contract,True,True,True,contract_violation,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
m3084-runtime_base_policy_absent,contract,True,False,False,contract_violation,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
m3084-fresh_panel_denominator,denominator,True,64,64,scenario_sampling_failure,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
m3084-m3080_seed_overlap_zero,denominator,True,0,0,seed_fragility,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
m3084-axis_coverage,denominator,True,collision_lateral_intrusion|offtrack_boundary_recovery|speed_floor_stress|stability_action_pressure,4,scenario_sampling_failure,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
m3084-measurement_episode_rows,execution,True,64,64,metric_artifact,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
m3084-measurement_failure_rows,execution,True,0,0,metric_artifact,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
