gate_id,gate_family,status_pass,observed,expected,blocks_execution_if_false,failure_type,claim_boundary
source_artifacts_present,lineage,True,"{'m2671_summary': True, 'm2671_controller_family_rows': True, 'm2671_task_family_rows': True, 'm2671_fairness_gate_rows': True, 'm2671_claim_boundary_rows': True, 'm2671_gate_matrix': True, 'm2672_audit_doc': True, 'm1205_synthesis_doc': True, 'follow_up_manifest': True}",all M2671/M2672 source artifacts and follow-up manifest present,True,,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2671_status_pass,lineage,True,True,True,True,,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
required_protocol_controller_ids_present,protocol,True,"['L0-current', 'L1-one-step', 'L2-current-tiled', 'L2-window-100', 'L2-window-13', 'L2-window-25', 'L2-window-50', 'L3-online-GRU', 'L3-reset-truncated-control']","['L0-current', 'L1-one-step', 'L2-current-tiled', 'L2-window-100', 'L2-window-13', 'L2-window-25', 'L2-window-50', 'L3-online-GRU', 'L3-reset-truncated-control']",True,,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
all_required_protocol_ids_mapped_to_runtime,protocol_to_runtime,True,"['L0-current', 'L1-one-step', 'L2-current-tiled', 'L2-window-100', 'L2-window-13', 'L2-window-25', 'L2-window-50', 'L3-online-GRU', 'L3-reset-truncated-control']","['L0-current', 'L1-one-step', 'L2-current-tiled', 'L2-window-100', 'L2-window-13', 'L2-window-25', 'L2-window-50', 'L3-online-GRU', 'L3-reset-truncated-control']",True,,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
runtime_profile_rows_present,protocol_to_runtime,True,12,12,True,,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
all_runtime_configs_present,runtime_config,True,[],[],True,,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
actor_contract_shape_72_action_3,actor_contract,True,P0 frame multiple/action 3 for all mapped profiles,P0 frame multiple/action 3,True,,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
no_hidden_oracle_actor_inputs,actor_contract,True,False,False,True,,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
l0_previous_command_mask_runtime_observed,runtime_enforcement,True,[True],[True],True,,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
l2_current_tiled_runtime_observed,runtime_enforcement,True,"[True, True, True, True]","[True, True, True, True]",True,,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
l2_current_tiled_config_count,runtime_enforcement,True,4,4,True,,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
l3_reset_truncated_policy_routing_ok,runtime_enforcement,True,[True],[True],True,,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
