gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
m2695_gate_source_artifacts_present,lineage,True,"{'m2694_audit_doc': True, 'm2693_summary': True, 'm2693_failure_rows': True, 'm2693_protected_target_aggregate': True, 'm2693_source_diversity_aggregate': True, 'm2693_blocker_join_rows': True, 'm2693_actor_contract_join_rows': True, 'm2693_claim_boundary_rows': True, 'm2693_gate_matrix': True, 'm2691_summary': True, 'm2691_target_panel_rows': True, 'm2664_combined_failure_taxonomy_rows': True, 'm2667_known_failure_boundary_rows': True, 'executable_task_specs': True, 'executable_workload_matrix': True}",all M2694/M2693/M2691/M2664/M2667/current-runner artifacts present,,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2693_status_pass,lineage,True,True,True,,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691_status_pass,lineage,True,True,True,,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
protected_targets_present,target_panel,True,10,>0,,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
protected_failure_rows_present,target_panel,True,10,10,,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
bridge_rows_cover_protected_targets,bridge,True,bridge=10 targets=10,all protected target ids,,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
executable_or_unbridgeable_partition,bridge,True,candidate=0 unbridgeable=10 target=10,partition covers all protected targets,,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
unbridgeable_rows_visible_not_dropped,bridge,True,10,all unbridgeable bridge rows written,,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
actor_contract_preserved,contract,True,rows=9 pass=9,all actor guard rows pass,,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
protected_labels_actor_invisible,contract,True,target/protected labels actor-invisible,all false,,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
