claim_id,claim_family,allowed_in_m2691,claim_made,status_pass,evidence_required_before_claim,claim_boundary
m2691_claim_allowed_target_panel_materialized,target_panel_materialized,True,True,True,target panel artifacts exist,"M2691 source-diverse off-track/protected target-panel materialization only; existing M2684 off-track, M2664/M2667 protected, and M2688 blocker artifacts may be reanalyzed into blocker-source, target-panel, source-diversity, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, package publication, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691_claim_allowed_blocker_sources_traced,blocker_sources_traced,True,True,True,M2684/M2664/M2667/M2688 source artifacts are present,"M2691 source-diverse off-track/protected target-panel materialization only; existing M2684 off-track, M2664/M2667 protected, and M2688 blocker artifacts may be reanalyzed into blocker-source, target-panel, source-diversity, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, package publication, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691_claim_allowed_source_diversity_plan_registered,source_diversity_plan_registered,True,True,True,source-diversity plan rows exist,"M2691 source-diverse off-track/protected target-panel materialization only; existing M2684 off-track, M2664/M2667 protected, and M2688 blocker artifacts may be reanalyzed into blocker-source, target-panel, source-diversity, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, package publication, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691_claim_allowed_result_audit_follow_up_registered,result_audit_follow_up_registered,True,True,True,M2692 result audit manifest exists,"M2691 source-diverse off-track/protected target-panel materialization only; existing M2684 off-track, M2664/M2667 protected, and M2688 blocker artifacts may be reanalyzed into blocker-source, target-panel, source-diversity, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, package publication, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691_claim_blocked_package_publication,package_publication,False,False,True,future audited evidence before any package_publication claim,"M2691 source-diverse off-track/protected target-panel materialization only; existing M2684 off-track, M2664/M2667 protected, and M2688 blocker artifacts may be reanalyzed into blocker-source, target-panel, source-diversity, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, package publication, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691_claim_blocked_repair_success,repair_success,False,False,True,future audited evidence before any repair_success claim,"M2691 source-diverse off-track/protected target-panel materialization only; existing M2684 off-track, M2664/M2667 protected, and M2688 blocker artifacts may be reanalyzed into blocker-source, target-panel, source-diversity, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, package publication, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691_claim_blocked_driver_performance,driver_performance,False,False,True,future audited evidence before any driver_performance claim,"M2691 source-diverse off-track/protected target-panel materialization only; existing M2684 off-track, M2664/M2667 protected, and M2688 blocker artifacts may be reanalyzed into blocker-source, target-panel, source-diversity, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, package publication, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691_claim_blocked_validation_readiness,validation_readiness,False,False,True,future audited evidence before any validation_readiness claim,"M2691 source-diverse off-track/protected target-panel materialization only; existing M2684 off-track, M2664/M2667 protected, and M2688 blocker artifacts may be reanalyzed into blocker-source, target-panel, source-diversity, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, package publication, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691_claim_blocked_validation_result,validation_result,False,False,True,future audited evidence before any validation_result claim,"M2691 source-diverse off-track/protected target-panel materialization only; existing M2684 off-track, M2664/M2667 protected, and M2688 blocker artifacts may be reanalyzed into blocker-source, target-panel, source-diversity, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, package publication, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691_claim_blocked_controller_family_ranking,controller_family_ranking,False,False,True,future audited evidence before any controller_family_ranking claim,"M2691 source-diverse off-track/protected target-panel materialization only; existing M2684 off-track, M2664/M2667 protected, and M2688 blocker artifacts may be reanalyzed into blocker-source, target-panel, source-diversity, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, package publication, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
